[2026-07-22 21:25:14.820] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:15.659] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:16.495] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:17.325] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:18.156] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:18.990] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:19.820] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:20.654] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:21.500] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:22.347] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:23.187] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:24.024] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:24.856] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:25.715] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:26.564] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:27.405] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:28.246] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:29.082] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:29.924] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:30.760] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:31.497] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:25:31.614] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:32.447] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:33.282] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:34.119] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:34.963] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:35.807] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:36.633] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:37.033] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:25:37.465] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:38.311] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:39.153] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:39.984] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:40.822] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:41.661] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:41.993] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:25:42.507] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:43.006] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:25:43.350] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:43.595] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:25:44.181] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:45.032] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:45.889] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:46.721] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:47.566] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:48.413] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:49.260] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:50.108] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:50.946] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:51.012] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:25:51.779] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:52.300] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:25:52.610] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:53.451] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:54.275] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:55.118] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:55.957] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:56.800] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:57.638] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:58.493] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:59.323] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:00.164] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:00.798] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:26:00.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:01.198] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:26:01.597] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:26:01.854] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:02.697] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:03.101] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:26:03.537] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:04.070] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:26:04.367] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:05.212] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:06.050] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:06.400] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:26:06.880] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:07.713] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:08.547] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:09.386] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:10.226] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:11.072] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:11.897] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:12.741] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:13.423] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:26:13.582] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:14.430] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:14.711] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:26:15.261] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:16.104] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:16.941] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:17.785] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:18.630] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:19.471] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:20.313] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:21.155] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:22.003] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:22.844] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:23.686] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:24.532] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:25.381] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:26.215] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:26:26.224] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:26.241] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:26:27.064] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:27.902] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:28.752] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:29.593] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:30.430] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:31.268] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:32.114] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:32.948] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:33.780] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:34.623] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:35.475] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:26:35.817] [warning] [Gimbal] Invalid mode: 90
