[2026-07-22 21:59:17.001] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:17.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:18.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:20.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:21.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:22.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:23.001] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:24.001] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:25.001] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:26.001] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:26.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:28.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:29.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:30.001] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:31.001] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:32.001] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:33.002] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:33.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:35.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:36.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:37.001] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:37.067] [info] [DesktopGimbal] Shutdown.
[2026-07-22 21:59:37.285] [info] [Gimbal] read_thread stopped.
